protein,ligand,short_name,category,DG,distance,is_productive
A11,5_butyraldehyde,butyraldehyde,Short-chain,-6.06,2.284,True
A11,60_S-Formylglutathione,S-formyl-GSH,Other,-7.39,4.758,False
A11,6_amylaldehyde,amylaldehyde,Short-chain,-6.22,2.111,True
A11,7_glutaraldehyde,glutaraldehyde,Medium-chain,-6.39,2.143,True
A11,8_hexanal,hexanal,Medium-chain,-6.48,1.987,True
A11,9_2-hydroxypropionaldehyde,2-hydroxypropionaldeh…,Short-chain,-5.86,1.635,True
A12,10_4-guanidinobutyraldehyde,γ-guanidinobutyr-ald.,Semialdehyde,-5.94,5.565,False
A12,11_prop-2-enal,prop-2-enal,"α,β-Unsaturated",-5.92,5.168,False
A12,12_prop-2-ynal,prop-2-ynal,"α,β-Unsaturated",-5.96,5.534,False
A12,13_(2E)-but-2-enal,(2E)-but-2-enal,"α,β-Unsaturated",-6.21,5.528,False
A12,14_trans-2-Hexenal,trans-2-Hexenal,"α,β-Unsaturated",-6.7,5.344,False
A12,15_heptanal,heptanal,Medium-chain,-6.97,5.407,False
A12,16_octanaldehyde,octanaldehyde,Medium-chain,-7.14,5.564,False
A12,17_nonanal,nonanal,Medium-chain,-7.39,5.572,False
A12,18_decanal,decanal,Medium-chain,-7.56,5.686,False
A12,19_dodecanal,dodecanal,Medium-chain,-8.08,5.389,False
A12,20_Citral,Citral,"α,β-Unsaturated",-7.57,5.838,False
A12,21_cis-2-Octenal,cis-2-Octenal,"α,β-Unsaturated",-7.27,5.613,False
A12,22_trans-2-Octenal,trans-2-Octenal,"α,β-Unsaturated",-7.29,5.444,False
A12,23_4-Hydroxynonenal,4-HNE,"α,β-Unsaturated",-7.31,5.506,False
A12,24_Tetradecanal,Tetradecanal,Medium-chain,-8.58,5.57,False
A12,25_hexadecanal,hexadecanal,Medium-chain,-9.0,5.502,False
A12,26_trans-2-hexadecenal,t-2-hexadecenal,"α,β-Unsaturated",-8.95,5.742,False
A12,27_Benzaldehyde,benzald.,Aromatic,-6.97,5.01,False
A12,28_Phenylacetaldehyde,phenylacetald.,Aromatic,-7.15,4.951,False
A12,29_Salicylaldehyde,salicylald.,Aromatic,-6.98,4.824,False
A12,2_acetaldehyde,acetaldehyde,Short-chain,-5.68,5.165,False
A12,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal","3,4-(OH)₂-cinnamald.",Aromatic,-7.39,5.817,False
A12,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",β-carotene ald.,Retinoid,-10.45,5.763,False
A12,32_9-cis-Retinal,9-cis-retinal,Retinoid,-9.81,5.564,False
A12,34_4-hydroxy-2-nonenal,4-OH-2-nonenal,"α,β-Unsaturated",-7.5,6.785,False
A12,35_Cinnamaldehyde,cinnamald.,Aromatic,-7.54,5.472,False
A12,36_3-(4-Isopropylphenyl)-2-methylpropanal,iPr-Ph methylpropanal,Aromatic,-8.45,5.098,False
A12,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",DHF-OH-acetald.,Aromatic,-6.61,5.455,False
A12,39_4-nitrobenzaldehyde,4-NO₂-benzald.,Aromatic,-6.68,5.767,False
A12,3_propylaldehyde,propylaldehyde,Short-chain,-5.92,5.145,False
A12,40_Furan-2-carbaldehyde,furan-2-carbald.,Aromatic,-7.91,5.11,False
A12,41_Indole-3-acetaldehyde,indole-3-acetald.,Aromatic,-7.62,5.292,False
A12,42_Glutamate-5-semialdehyde,Glu-5-semiald.,Semialdehyde,-6.19,1.536,True
A12,43_Glutamate-1-semialdehyde,Glu-1-semiald.,Semialdehyde,-6.26,5.41,False
A12,44_glutarate semialdehyde,glutarate-semiald.,Semialdehyde,-6.4,1.645,True
A12,45_adipate semialdehyde,adipate-semiald.,Semialdehyde,-6.61,1.862,True
A12,46_Succinic semialdehyde,succinic-semiald.,Semialdehyde,-6.19,2.357,True
A12,47_methylmalonate semialdehyde,MeMal-semiald.,Semialdehyde,-6.17,3.169,True
A12,48_alpha-aminoadipate semialdehyde,α-AASA,Semialdehyde,-6.43,2.138,True
A12,49_2-Aminomuconic semialdehyde,2-AM-semiald.,Semialdehyde,-6.47,1.965,True
A12,4_malonaldehyde,malonaldehyde,Short-chain,-5.95,3.096,True
A12,50_10-formyltetrahydrofolate,10-formyl-THF,Other,-7.99,14.408,False
A12,52_Triose phosphate,Triose phosphate,Other,-6.05,2.02,True
