protein,ligand,distance,DG,confidence
A13,46_Succinic semialdehyde,3.118,-6.2,-0.33
A13,47_methylmalonate semialdehyde,5.025,-6.25,-0.71
A13,48_alpha-aminoadipate semialdehyde,2.762,-6.54,-0.76
A13,49_2-Aminomuconic semialdehyde,2.951,-6.31,-0.56
A13,4_malonaldehyde,3.428,-5.96,-0.32
A13,50_10-formyltetrahydrofolate,6.739,-7.29,-1.45
A13,52_Triose phosphate,4.428,-6.12,-0.73
A13,53_Pyridoxal phosphate,14.125,-6.96,-0.77
A13,57_S-3-oxopropylglutathione,2.628,-7.78,-1.25
A13,58_S-(4-oxobutan-2-yl)glutathione,11.799,-7.76,-1.6
A13,5_butyraldehyde,3.647,-6.28,-0.63
A13,60_S-Formylglutathione,2.979,-7.09,-0.98
A13,6_amylaldehyde,6.314,-6.49,-0.77
A13,7_glutaraldehyde,7.758,-6.46,-0.42
A13,8_hexanal,6.478,-6.75,-0.81
A13,9_2-hydroxypropionaldehyde,3.096,-6.02,-0.55
A14,10_4-guanidinobutyraldehyde,2.998,-6.1,-0.27
A14,11_prop-2-enal,1.267,-6.09,-0.32
A14,12_prop-2-ynal,2.223,-6.06,-0.32
A14,13_(2E)-but-2-enal,1.931,-6.33,-0.82
A14,14_trans-2-Hexenal,4.354,-6.56,-0.47
A14,15_heptanal,1.85,-7.03,-1.21
A14,16_octanaldehyde,3.046,-7.44,-0.77
A14,17_nonanal,9.877,-7.07,-0.52
A14,18_decanal,2.565,-7.5,-0.59
A14,19_dodecanal,4.425,-7.69,-1.07
A14,20_Citral,3.88,-8.04,-2.24
A14,21_cis-2-Octenal,5.449,-7.46,-1.3
A14,22_trans-2-Octenal,2.298,-7.09,-0.48
A14,23_4-Hydroxynonenal,10.293,-7.06,-0.99
A14,24_Tetradecanal,10.1,-7.88,-0.63
A14,25_hexadecanal,6.389,-8.47,-1.14
A14,26_trans-2-hexadecenal,4.645,-8.55,-1.23
A14,27_Benzaldehyde,34.477,-5.89,-0.95
A14,28_Phenylacetaldehyde,2.581,-7.33,-1.91
A14,29_Salicylaldehyde,4.199,-7.18,-1.48
A14,2_acetaldehyde,9.882,-5.63,0.44
A14,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",7.302,-7.64,-1.01
A14,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",5.69,-9.33,-0.59
A14,32_9-cis-Retinal,8.761,-8.82,-1.02
A14,34_4-hydroxy-2-nonenal,2.277,-7.28,-0.46
A14,35_Cinnamaldehyde,11.804,-7.04,-1.2
A14,36_3-(4-Isopropylphenyl)-2-methylpropanal,11.392,-8.04,-0.65
A14,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",3.645,-6.68,-0.74
A14,39_4-nitrobenzaldehyde,2.895,-6.69,-1.51
A14,3_propylaldehyde,1.109,-6.07,-0.1
A14,40_Furan-2-carbaldehyde,10.24,-7.69,-0.54
A14,41_Indole-3-acetaldehyde,11.081,-7.13,-0.43
A14,42_Glutamate-5-semialdehyde,8.23,-6.07,-0.77
A14,43_Glutamate-1-semialdehyde,4.089,-6.19,-0.55
A14,44_glutarate semialdehyde,6.654,-6.39,-0.52
A14,45_adipate semialdehyde,5.663,-6.64,-0.43
A14,46_Succinic semialdehyde,4.247,-6.16,-0.5
A14,47_methylmalonate semialdehyde,2.904,-6.3,-0.9
A14,48_alpha-aminoadipate semialdehyde,9.599,-6.3,-0.3
A14,49_2-Aminomuconic semialdehyde,3.458,-6.59,-0.72
A14,4_malonaldehyde,2.983,-6.09,-0.53
A14,50_10-formyltetrahydrofolate,14.252,-7.29,-1.05
A14,52_Triose phosphate,8.896,-6.31,-0.45
A14,53_Pyridoxal phosphate,12.748,-6.89,-0.48
A14,57_S-3-oxopropylglutathione,2.991,-7.57,-1.15
A14,58_S-(4-oxobutan-2-yl)glutathione,15.727,-7.5,-1.44
A14,5_butyraldehyde,0.95,-6.39,-0.61
A14,60_S-Formylglutathione,4.527,-7.08,-0.79
A14,6_amylaldehyde,1.828,-6.63,-1.07
A14,7_glutaraldehyde,7.531,-6.36,-0.64
A14,8_hexanal,3.84,-6.6,-0.57
A14,9_2-hydroxypropionaldehyde,1.904,-6.04,-0.39
A8,10_4-guanidinobutyraldehyde,2.365,-5.92,-0.27
A8,11_prop-2-enal,2.256,-6.0,0.31
A8,12_prop-2-ynal,2.056,-5.99,-0.07
A8,13_(2E)-but-2-enal,1.94,-6.27,0.16
A8,14_trans-2-Hexenal,1.88,-6.79,0.1
A8,15_heptanal,1.96,-6.98,-0.13
A8,16_octanaldehyde,2.059,-7.2,-0.32
A8,17_nonanal,1.647,-7.5,-0.39
A8,18_decanal,2.0,-7.74,-0.53
A8,19_dodecanal,2.514,-8.27,-0.74
A8,20_Citral,1.592,-7.77,-0.37
A8,21_cis-2-Octenal,1.686,-7.23,-0.3
A8,22_trans-2-Octenal,1.858,-7.23,-0.33
A8,23_4-Hydroxynonenal,2.134,-7.49,-0.25
A8,24_Tetradecanal,2.096,-8.27,-1.14
A8,25_hexadecanal,2.266,-8.77,-1.24
A8,26_trans-2-hexadecenal,2.274,-8.78,-1.32
A8,27_Benzaldehyde,3.056,-6.95,-0.14
A8,28_Phenylacetaldehyde,2.829,-7.2,-0.09
A8,29_Salicylaldehyde,2.656,-7.0,-0.26
A8,2_acetaldehyde,2.462,-5.73,0.17
A8,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",7.729,-7.54,-0.45
A8,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",2.084,-9.62,-2.94
A8,32_9-cis-Retinal,2.399,-9.43,-2.98
A8,34_4-hydroxy-2-nonenal,2.069,-7.44,-0.28
A8,35_Cinnamaldehyde,1.949,-7.51,-0.02
A8,36_3-(4-Isopropylphenyl)-2-methylpropanal,1.594,-8.58,-1.81
A8,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",3.249,-6.64,-0.8
A8,39_4-nitrobenzaldehyde,2.146,-6.69,-0.61
A8,3_propylaldehyde,2.031,-6.0,0.13
A8,40_Furan-2-carbaldehyde,1.747,-7.95,-0.6
A8,41_Indole-3-acetaldehyde,2.907,-7.78,-0.22
A8,42_Glutamate-5-semialdehyde,6.207,-6.26,-0.2
A8,43_Glutamate-1-semialdehyde,1.984,-6.08,-0.28
A8,44_glutarate semialdehyde,5.852,-6.51,-0.24
A8,45_adipate semialdehyde,6.897,-6.75,-0.18
A8,46_Succinic semialdehyde,4.459,-6.2,-0.39
A8,47_methylmalonate semialdehyde,4.347,-6.23,-0.41
A8,48_alpha-aminoadipate semialdehyde,7.252,-6.53,-0.3
A8,49_2-Aminomuconic semialdehyde,6.89,-6.52,-0.49
A8,4_malonaldehyde,4.389,-5.99,-0.25
A8,50_10-formyltetrahydrofolate,14.365,-7.69,-1.21
A8,52_Triose phosphate,5.858,-6.07,-0.53
A8,53_Pyridoxal phosphate,16.654,-6.65,-0.4
A8,57_S-3-oxopropylglutathione,4.168,-7.22,-1.27
A8,58_S-(4-oxobutan-2-yl)glutathione,6.12,-8.42,-1.96
A8,5_butyraldehyde,2.208,-6.24,0.12
A8,60_S-Formylglutathione,5.307,-7.44,-1.18
A8,6_amylaldehyde,2.558,-6.47,0.15
A8,7_glutaraldehyde,7.02,-6.48,-0.21
A8,8_hexanal,2.313,-6.77,0.07
A8,9_2-hydroxypropionaldehyde,1.99,-6.03,-0.22
A9,10_4-guanidinobutyraldehyde,2.303,-5.98,-0.38
A9,11_prop-2-enal,2.023,-5.93,0.11
A9,12_prop-2-ynal,2.506,-5.91,-0.11
A9,13_(2E)-but-2-enal,3.093,-6.14,-0.23
A9,14_trans-2-Hexenal,2.699,-6.63,-0.25
A9,15_heptanal,2.337,-6.91,-0.43
A9,16_octanaldehyde,2.197,-7.13,-0.45
A9,17_nonanal,2.338,-7.4,-0.3
A9,18_decanal,1.598,-7.64,-0.48
A9,19_dodecanal,2.521,-8.06,-0.68
A9,20_Citral,2.256,-7.65,-0.2
A9,21_cis-2-Octenal,1.257,-7.11,-0.59
A9,22_trans-2-Octenal,1.74,-7.16,-0.49
A9,23_4-Hydroxynonenal,2.964,-7.37,-0.09
A9,24_Tetradecanal,1.71,-8.35,-0.54
A9,25_hexadecanal,1.438,-8.6,-0.52
A9,26_trans-2-hexadecenal,1.614,-8.44,-0.82
A9,27_Benzaldehyde,2.418,-6.89,-0.14
A9,28_Phenylacetaldehyde,2.152,-7.16,-0.18
A9,29_Salicylaldehyde,2.294,-6.88,-0.79
A9,2_acetaldehyde,2.633,-5.68,0.14
A9,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",2.763,-7.44,-0.23
A9,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",1.835,-9.35,-0.91
A9,32_9-cis-Retinal,5.125,-9.37,-0.63
A9,34_4-hydroxy-2-nonenal,2.733,-7.35,-0.31
A9,35_Cinnamaldehyde,2.011,-7.42,0.08
A9,36_3-(4-Isopropylphenyl)-2-methylpropanal,2.101,-8.32,-0.52
A9,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",2.924,-6.69,-0.84
A9,39_4-nitrobenzaldehyde,2.023,-6.63,-0.73
A9,3_propylaldehyde,2.375,-5.93,0.18
A9,40_Furan-2-carbaldehyde,1.963,-7.97,-0.91
A9,41_Indole-3-acetaldehyde,2.776,-7.59,-0.34
A9,42_Glutamate-5-semialdehyde,4.303,-6.34,-0.13
A9,43_Glutamate-1-semialdehyde,2.941,-6.25,-0.35
A9,44_glutarate semialdehyde,6.194,-6.43,-0.51
A9,45_adipate semialdehyde,7.153,-6.66,-0.16
A9,46_Succinic semialdehyde,3.974,-6.21,-0.19
A9,47_methylmalonate semialdehyde,3.086,-6.17,-0.27
A9,48_alpha-aminoadipate semialdehyde,6.962,-6.55,-0.46
A9,49_2-Aminomuconic semialdehyde,7.803,-6.46,-0.61
A9,4_malonaldehyde,3.818,-5.9,-0.21
A9,50_10-formyltetrahydrofolate,15.536,-8.05,-1.03
A9,52_Triose phosphate,5.304,-6.11,-0.69
A9,53_Pyridoxal phosphate,7.112,-6.82,-0.67
A9,57_S-3-oxopropylglutathione,6.001,-8.19,-1.85
A9,58_S-(4-oxobutan-2-yl)glutathione,6.521,-8.21,-2.36
A9,5_butyraldehyde,2.17,-6.2,-0.03
A9,60_S-Formylglutathione,4.076,-7.58,-1.09
A9,6_amylaldehyde,2.554,-6.4,-0.14
A9,7_glutaraldehyde,1.781,-6.4,-0.26
A9,8_hexanal,2.442,-6.65,-0.26
A9,9_2-hydroxypropionaldehyde,2.403,-5.94,-0.05
