protein,ligand,distance,DG,quad
A13,35_Cinnamaldehyde,8.499,-7.38,High-affinity non-productive
A13,36_3-(4-Isopropylphenyl)-2-methylpropanal,14.103,-8.26,High-affinity non-productive
A13,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",3.078,-6.59,Productive low-affinity
A13,39_4-nitrobenzaldehyde,3.057,-6.72,Productive low-affinity
A13,3_propylaldehyde,4.039,-5.96,Neither
A13,40_Furan-2-carbaldehyde,13.516,-7.88,High-affinity non-productive
A13,41_Indole-3-acetaldehyde,3.56,-7.49,Productive high-affinity
A13,42_Glutamate-5-semialdehyde,2.854,-6.24,Productive low-affinity
A13,43_Glutamate-1-semialdehyde,7.377,-6.21,Neither
A13,44_glutarate semialdehyde,2.972,-6.46,Productive low-affinity
A13,45_adipate semialdehyde,4.305,-6.64,Neither
A13,46_Succinic semialdehyde,3.118,-6.2,Productive low-affinity
A13,47_methylmalonate semialdehyde,5.025,-6.25,Neither
A13,48_alpha-aminoadipate semialdehyde,2.762,-6.54,Productive low-affinity
A13,49_2-Aminomuconic semialdehyde,2.951,-6.31,Productive low-affinity
A13,4_malonaldehyde,3.428,-5.96,Productive low-affinity
A13,50_10-formyltetrahydrofolate,6.739,-7.29,High-affinity non-productive
A13,52_Triose phosphate,4.428,-6.12,Neither
A13,53_Pyridoxal phosphate,14.125,-6.96,Neither
A13,57_S-3-oxopropylglutathione,2.628,-7.78,Productive high-affinity
A13,58_S-(4-oxobutan-2-yl)glutathione,11.799,-7.76,High-affinity non-productive
A13,5_butyraldehyde,3.647,-6.28,Productive low-affinity
A13,60_S-Formylglutathione,2.979,-7.09,Productive high-affinity
A13,6_amylaldehyde,6.314,-6.49,Neither
A13,7_glutaraldehyde,7.758,-6.46,Neither
A13,8_hexanal,6.478,-6.75,Neither
A13,9_2-hydroxypropionaldehyde,3.096,-6.02,Productive low-affinity
A14,10_4-guanidinobutyraldehyde,2.998,-6.1,Productive low-affinity
A14,11_prop-2-enal,1.267,-6.09,Productive low-affinity
A14,12_prop-2-ynal,2.223,-6.06,Productive low-affinity
A14,13_(2E)-but-2-enal,1.931,-6.33,Productive low-affinity
A14,14_trans-2-Hexenal,4.354,-6.56,Neither
A14,15_heptanal,1.85,-7.03,Productive high-affinity
A14,16_octanaldehyde,3.046,-7.44,Productive high-affinity
A14,17_nonanal,9.877,-7.07,High-affinity non-productive
A14,18_decanal,2.565,-7.5,Productive high-affinity
A14,19_dodecanal,4.425,-7.69,High-affinity non-productive
A14,20_Citral,3.88,-8.04,Productive high-affinity
A14,21_cis-2-Octenal,5.449,-7.46,High-affinity non-productive
A14,22_trans-2-Octenal,2.298,-7.09,Productive high-affinity
A14,23_4-Hydroxynonenal,10.293,-7.06,High-affinity non-productive
A14,24_Tetradecanal,10.1,-7.88,High-affinity non-productive
A14,25_hexadecanal,6.389,-8.47,High-affinity non-productive
A14,26_trans-2-hexadecenal,4.645,-8.55,High-affinity non-productive
A14,27_Benzaldehyde,34.477,-5.89,Neither
A14,28_Phenylacetaldehyde,2.581,-7.33,Productive high-affinity
A14,29_Salicylaldehyde,4.199,-7.18,High-affinity non-productive
A14,2_acetaldehyde,9.882,-5.63,Neither
A14,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",7.302,-7.64,High-affinity non-productive
A14,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",5.69,-9.33,High-affinity non-productive
A14,32_9-cis-Retinal,8.761,-8.82,High-affinity non-productive
A14,34_4-hydroxy-2-nonenal,2.277,-7.28,Productive high-affinity
A14,35_Cinnamaldehyde,11.804,-7.04,High-affinity non-productive
A14,36_3-(4-Isopropylphenyl)-2-methylpropanal,11.392,-8.04,High-affinity non-productive
A14,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",3.645,-6.68,Productive low-affinity
A14,39_4-nitrobenzaldehyde,2.895,-6.69,Productive low-affinity
A14,3_propylaldehyde,1.109,-6.07,Productive low-affinity
A14,40_Furan-2-carbaldehyde,10.24,-7.69,High-affinity non-productive
A14,41_Indole-3-acetaldehyde,11.081,-7.13,High-affinity non-productive
A14,42_Glutamate-5-semialdehyde,8.23,-6.07,Neither
A14,43_Glutamate-1-semialdehyde,4.089,-6.19,Neither
A14,44_glutarate semialdehyde,6.654,-6.39,Neither
A14,45_adipate semialdehyde,5.663,-6.64,Neither
A14,46_Succinic semialdehyde,4.247,-6.16,Neither
A14,47_methylmalonate semialdehyde,2.904,-6.3,Productive low-affinity
A14,48_alpha-aminoadipate semialdehyde,9.599,-6.3,Neither
A14,49_2-Aminomuconic semialdehyde,3.458,-6.59,Productive low-affinity
A14,4_malonaldehyde,2.983,-6.09,Productive low-affinity
A14,50_10-formyltetrahydrofolate,14.252,-7.29,High-affinity non-productive
A14,52_Triose phosphate,8.896,-6.31,Neither
A14,53_Pyridoxal phosphate,12.748,-6.89,Neither
A14,57_S-3-oxopropylglutathione,2.991,-7.57,Productive high-affinity
A14,58_S-(4-oxobutan-2-yl)glutathione,15.727,-7.5,High-affinity non-productive
A14,5_butyraldehyde,0.95,-6.39,Productive low-affinity
A14,60_S-Formylglutathione,4.527,-7.08,High-affinity non-productive
A14,6_amylaldehyde,1.828,-6.63,Productive low-affinity
A14,7_glutaraldehyde,7.531,-6.36,Neither
A14,8_hexanal,3.84,-6.6,Productive low-affinity
A14,9_2-hydroxypropionaldehyde,1.904,-6.04,Productive low-affinity
A8,10_4-guanidinobutyraldehyde,2.365,-5.92,Productive low-affinity
A8,11_prop-2-enal,2.256,-6.0,Productive low-affinity
A8,12_prop-2-ynal,2.056,-5.99,Productive low-affinity
A8,13_(2E)-but-2-enal,1.94,-6.27,Productive low-affinity
A8,14_trans-2-Hexenal,1.88,-6.79,Productive low-affinity
A8,15_heptanal,1.96,-6.98,Productive low-affinity
A8,16_octanaldehyde,2.059,-7.2,Productive high-affinity
A8,17_nonanal,1.647,-7.5,Productive high-affinity
A8,18_decanal,2.0,-7.74,Productive high-affinity
A8,19_dodecanal,2.514,-8.27,Productive high-affinity
A8,20_Citral,1.592,-7.77,Productive high-affinity
A8,21_cis-2-Octenal,1.686,-7.23,Productive high-affinity
A8,22_trans-2-Octenal,1.858,-7.23,Productive high-affinity
A8,23_4-Hydroxynonenal,2.134,-7.49,Productive high-affinity
A8,24_Tetradecanal,2.096,-8.27,Productive high-affinity
A8,25_hexadecanal,2.266,-8.77,Productive high-affinity
A8,26_trans-2-hexadecenal,2.274,-8.78,Productive high-affinity
A8,27_Benzaldehyde,3.056,-6.95,Productive low-affinity
A8,28_Phenylacetaldehyde,2.829,-7.2,Productive high-affinity
A8,29_Salicylaldehyde,2.656,-7.0,Productive high-affinity
A8,2_acetaldehyde,2.462,-5.73,Productive low-affinity
A8,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",7.729,-7.54,High-affinity non-productive
A8,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",2.084,-9.62,Productive high-affinity
A8,32_9-cis-Retinal,2.399,-9.43,Productive high-affinity
A8,34_4-hydroxy-2-nonenal,2.069,-7.44,Productive high-affinity
A8,35_Cinnamaldehyde,1.949,-7.51,Productive high-affinity
A8,36_3-(4-Isopropylphenyl)-2-methylpropanal,1.594,-8.58,Productive high-affinity
A8,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",3.249,-6.64,Productive low-affinity
A8,39_4-nitrobenzaldehyde,2.146,-6.69,Productive low-affinity
A8,3_propylaldehyde,2.031,-6.0,Productive low-affinity
A8,40_Furan-2-carbaldehyde,1.747,-7.95,Productive high-affinity
A8,41_Indole-3-acetaldehyde,2.907,-7.78,Productive high-affinity
A8,42_Glutamate-5-semialdehyde,6.207,-6.26,Neither
A8,43_Glutamate-1-semialdehyde,1.984,-6.08,Productive low-affinity
A8,44_glutarate semialdehyde,5.852,-6.51,Neither
A8,45_adipate semialdehyde,6.897,-6.75,Neither
A8,46_Succinic semialdehyde,4.459,-6.2,Neither
A8,47_methylmalonate semialdehyde,4.347,-6.23,Neither
A8,48_alpha-aminoadipate semialdehyde,7.252,-6.53,Neither
A8,49_2-Aminomuconic semialdehyde,6.89,-6.52,Neither
A8,4_malonaldehyde,4.389,-5.99,Neither
A8,50_10-formyltetrahydrofolate,14.365,-7.69,High-affinity non-productive
A8,52_Triose phosphate,5.858,-6.07,Neither
A8,53_Pyridoxal phosphate,16.654,-6.65,Neither
A8,57_S-3-oxopropylglutathione,4.168,-7.22,High-affinity non-productive
A8,58_S-(4-oxobutan-2-yl)glutathione,6.12,-8.42,High-affinity non-productive
A8,5_butyraldehyde,2.208,-6.24,Productive low-affinity
A8,60_S-Formylglutathione,5.307,-7.44,High-affinity non-productive
A8,6_amylaldehyde,2.558,-6.47,Productive low-affinity
A8,7_glutaraldehyde,7.02,-6.48,Neither
A8,8_hexanal,2.313,-6.77,Productive low-affinity
A8,9_2-hydroxypropionaldehyde,1.99,-6.03,Productive low-affinity
A9,10_4-guanidinobutyraldehyde,2.303,-5.98,Productive low-affinity
A9,11_prop-2-enal,2.023,-5.93,Productive low-affinity
A9,12_prop-2-ynal,2.506,-5.91,Productive low-affinity
A9,13_(2E)-but-2-enal,3.093,-6.14,Productive low-affinity
A9,14_trans-2-Hexenal,2.699,-6.63,Productive low-affinity
A9,15_heptanal,2.337,-6.91,Productive low-affinity
A9,16_octanaldehyde,2.197,-7.13,Productive high-affinity
A9,17_nonanal,2.338,-7.4,Productive high-affinity
A9,18_decanal,1.598,-7.64,Productive high-affinity
A9,19_dodecanal,2.521,-8.06,Productive high-affinity
A9,20_Citral,2.256,-7.65,Productive high-affinity
