x,xend,y,yend
26.0,26.0,0.05099019513592815,0.0
24.0,24.0,0.0,0.07348469228349482
24.0,25.5,0.07348469228349482,0.07348469228349482
25.5,25.5,0.07348469228349482,0.05099019513592815
23.0,23.0,0.0,0.09539392014169452
23.0,24.75,0.09539392014169452,0.09539392014169452
24.75,24.75,0.09539392014169452,0.07348469228349482
22.0,22.0,0.0,0.11144505372604008
22.0,23.875,0.11144505372604008,0.11144505372604008
23.875,23.875,0.11144505372604008,0.09539392014169452
21.0,21.0,0.0,0.6655173426240175
21.0,22.9375,0.6655173426240175,0.6655173426240175
22.9375,22.9375,0.6655173426240175,0.11144505372604008
16.3125,16.3125,0.447072487996979,1.6212631307699992
16.3125,21.96875,1.6212631307699992,1.6212631307699992
21.96875,21.96875,1.6212631307699992,0.6655173426240175
11.75,11.75,0.9840392946083669,2.8187620600685768
11.75,19.140625,2.8187620600685768,2.8187620600685768
19.140625,19.140625,2.8187620600685768,1.6212631307699992
3.96875,3.96875,1.5213116350403333,5.477700727581122
3.96875,15.4453125,5.477700727581122,5.477700727581122
15.4453125,15.4453125,5.477700727581122,2.8187620600685768
28.0,28.0,0.0,0.1382027496108524
28.0,29.0,0.1382027496108524,0.1382027496108524
29.0,29.0,0.1382027496108524,0.0
27.0,27.0,0.0,0.26324893162176316
27.0,28.5,0.26324893162176316,0.26324893162176316
28.5,28.5,0.26324893162176316,0.1382027496108524
30.0,30.0,0.0,0.5098038838612353
30.0,31.0,0.5098038838612353,0.5098038838612353
31.0,31.0,0.5098038838612353,0.0
27.75,27.75,0.26324893162176316,0.5934475545488418
27.75,30.5,0.5934475545488418,0.5934475545488418
30.5,30.5,0.5934475545488418,0.5098038838612353
33.0,33.0,0.0,0.1852025917745212
33.0,34.0,0.1852025917745212,0.1852025917745212
34.0,34.0,0.1852025917745212,0.0
32.0,32.0,0.0,0.6220128616033596
32.0,33.5,0.6220128616033596,0.6220128616033596
33.5,33.5,0.6220128616033596,0.1852025917745212
29.125,29.125,0.5934475545488418,1.1795740756730797
29.125,32.75,1.1795740756730797,1.1795740756730797
32.75,32.75,1.1795740756730797,0.6220128616033596
35.0,35.0,0.0,0.5527205442174195
35.0,36.0,0.5527205442174195,0.5527205442174195
36.0,36.0,0.5527205442174195,0.0
38.0,38.0,0.0,0.39268307832143673
38.0,39.0,0.39268307832143673,0.39268307832143673
39.0,39.0,0.39268307832143673,0.0
42.0,42.0,0.0,0.2991655060330326
42.0,43.0,0.2991655060330326,0.2991655060330326
43.0,43.0,0.2991655060330326,0.0
41.0,41.0,0.0,0.3586548944784289
41.0,42.5,0.3586548944784289,0.3586548944784289
42.5,42.5,0.3586548944784289,0.2991655060330326
40.0,40.0,0.0,0.6163738043319709
40.0,41.75,0.6163738043319709,0.6163738043319709
41.75,41.75,0.6163738043319709,0.3586548944784289
38.5,38.5,0.39268307832143673,0.7580127527511216
38.5,40.875,0.7580127527511216,0.7580127527511216
40.875,40.875,0.7580127527511216,0.6163738043319709
37.0,37.0,0.0,0.8554837116815144
37.0,39.6875,0.8554837116815144,0.8554837116815144
39.6875,39.6875,0.8554837116815144,0.7580127527511216
35.5,35.5,0.5527205442174195,1.2368925477191521
35.5,38.34375,1.2368925477191521,1.2368925477191521
38.34375,38.34375,1.2368925477191521,0.8554837116815144
30.9375,30.9375,1.1795740756730797,2.7173366490098867
30.9375,36.921875,2.7173366490098867,2.7173366490098867
36.921875,36.921875,2.7173366490098867,1.2368925477191521
45.0,45.0,0.0,1.0219589032832974
45.0,46.0,1.0219589032832974,1.0219589032832974
46.0,46.0,1.0219589032832974,0.0
44.0,44.0,0.0,1.487100086297712
44.0,45.5,1.487100086297712,1.487100086297712
45.5,45.5,1.487100086297712,1.0219589032832974
49.0,49.0,0.0,0.6665583245298197
49.0,50.0,0.6665583245298197,0.6665583245298197
50.0,50.0,0.6665583245298197,0.0
48.0,48.0,0.0,1.014149890302217
48.0,49.5,1.014149890302217,1.014149890302217
49.5,49.5,1.014149890302217,0.6665583245298197
52.0,52.0,0.0,0.9436100889668361
52.0,53.0,0.9436100889668361,0.9436100889668361
53.0,53.0,0.9436100889668361,0.0
51.0,51.0,0.0,1.2745718235287222
