protein,ligand,DG,col_index,lig_num,category
A11,13_(2E)-but-2-enal,-6.04,19,13,"α,β-Unsaturated"
A12,13_(2E)-but-2-enal,-6.21,19,13,"α,β-Unsaturated"
A13,13_(2E)-but-2-enal,-6.23,19,13,"α,β-Unsaturated"
A14,13_(2E)-but-2-enal,-6.33,19,13,"α,β-Unsaturated"
A8,5_butyraldehyde,-6.24,20,5,Short-chain
A9,5_butyraldehyde,-6.2,20,5,Short-chain
A10,5_butyraldehyde,-6.2,20,5,Short-chain
A11,5_butyraldehyde,-6.06,20,5,Short-chain
A12,5_butyraldehyde,-6.2,20,5,Short-chain
A13,5_butyraldehyde,-6.28,20,5,Short-chain
A14,5_butyraldehyde,-6.39,20,5,Short-chain
A8,10_4-guanidinobutyraldehyde,-5.92,21,10,Semialdehyde
A9,10_4-guanidinobutyraldehyde,-5.98,21,10,Semialdehyde
A10,10_4-guanidinobutyraldehyde,-5.81,21,10,Semialdehyde
A11,10_4-guanidinobutyraldehyde,-6.09,21,10,Semialdehyde
A12,10_4-guanidinobutyraldehyde,-5.94,21,10,Semialdehyde
A13,10_4-guanidinobutyraldehyde,-5.56,21,10,Semialdehyde
A14,10_4-guanidinobutyraldehyde,-6.1,21,10,Semialdehyde
A8,9_2-hydroxypropionaldehyde,-6.03,22,9,Short-chain
A9,9_2-hydroxypropionaldehyde,-5.94,22,9,Short-chain
A10,9_2-hydroxypropionaldehyde,-6.0,22,9,Short-chain
A11,9_2-hydroxypropionaldehyde,-5.86,22,9,Short-chain
A12,9_2-hydroxypropionaldehyde,-5.94,22,9,Short-chain
A13,9_2-hydroxypropionaldehyde,-6.02,22,9,Short-chain
A14,9_2-hydroxypropionaldehyde,-6.04,22,9,Short-chain
A8,12_prop-2-ynal,-5.99,23,12,"α,β-Unsaturated"
A9,12_prop-2-ynal,-5.91,23,12,"α,β-Unsaturated"
A10,12_prop-2-ynal,-5.92,23,12,"α,β-Unsaturated"
A11,12_prop-2-ynal,-5.82,23,12,"α,β-Unsaturated"
A12,12_prop-2-ynal,-5.96,23,12,"α,β-Unsaturated"
A13,12_prop-2-ynal,-5.96,23,12,"α,β-Unsaturated"
A14,12_prop-2-ynal,-6.06,23,12,"α,β-Unsaturated"
A8,4_malonaldehyde,-5.99,24,4,Short-chain
A9,4_malonaldehyde,-5.9,24,4,Short-chain
A10,4_malonaldehyde,-5.96,24,4,Short-chain
A11,4_malonaldehyde,-5.89,24,4,Short-chain
A12,4_malonaldehyde,-5.95,24,4,Short-chain
A13,4_malonaldehyde,-5.96,24,4,Short-chain
A14,4_malonaldehyde,-6.09,24,4,Short-chain
A8,11_prop-2-enal,-6.0,25,11,"α,β-Unsaturated"
A9,11_prop-2-enal,-5.93,25,11,"α,β-Unsaturated"
A10,11_prop-2-enal,-5.99,25,11,"α,β-Unsaturated"
A11,11_prop-2-enal,-5.86,25,11,"α,β-Unsaturated"
A12,11_prop-2-enal,-5.92,25,11,"α,β-Unsaturated"
A13,11_prop-2-enal,-5.99,25,11,"α,β-Unsaturated"
A14,11_prop-2-enal,-6.09,25,11,"α,β-Unsaturated"
A8,3_propylaldehyde,-6.0,26,3,Short-chain
A9,3_propylaldehyde,-5.93,26,3,Short-chain
A10,3_propylaldehyde,-5.96,26,3,Short-chain
A11,3_propylaldehyde,-5.84,26,3,Short-chain
A12,3_propylaldehyde,-5.92,26,3,Short-chain
A13,3_propylaldehyde,-5.96,26,3,Short-chain
