protein,ligand,DG,is_strong,lig_num,category,short_name,n_prots
A11,4_malonaldehyde,-5.89,0,4,Short-chain,malonaldehyde,0.0
A11,50_10-formyltetrahydrofolate,-8.19,1,50,Other,10-formyl-THF,7.0
A11,52_Triose phosphate,-6.1,0,52,Other,Triose phosphate,0.0
A11,53_Pyridoxal phosphate,-6.91,0,53,Other,Pyridoxal phosphate,1.0
A11,57_S-3-oxopropylglutathione,-7.82,1,57,Other,S-3-oxopropyl-GSH,7.0
A11,58_S-(4-oxobutan-2-yl)glutathione,-8.21,1,58,Other,S-4-oxobutyl-GSH,7.0
A11,5_butyraldehyde,-6.06,0,5,Short-chain,butyraldehyde,0.0
A11,60_S-Formylglutathione,-7.39,1,60,Other,S-formyl-GSH,7.0
A11,6_amylaldehyde,-6.22,0,6,Short-chain,amylaldehyde,0.0
A11,7_glutaraldehyde,-6.39,0,7,Medium-chain,glutaraldehyde,0.0
A11,8_hexanal,-6.48,0,8,Medium-chain,hexanal,0.0
A11,9_2-hydroxypropionaldehyde,-5.86,0,9,Short-chain,2-hydroxypropionaldeh…,0.0
A12,10_4-guanidinobutyraldehyde,-5.94,0,10,Semialdehyde,γ-guanidinobutyr-ald.,0.0
A12,11_prop-2-enal,-5.92,0,11,"α,β-Unsaturated",prop-2-enal,0.0
A12,12_prop-2-ynal,-5.96,0,12,"α,β-Unsaturated",prop-2-ynal,0.0
A12,13_(2E)-but-2-enal,-6.21,0,13,"α,β-Unsaturated",(2E)-but-2-enal,0.0
A12,14_trans-2-Hexenal,-6.7,0,14,"α,β-Unsaturated",trans-2-Hexenal,0.0
A12,15_heptanal,-6.97,0,15,Medium-chain,heptanal,1.0
A12,16_octanaldehyde,-7.14,1,16,Medium-chain,octanaldehyde,6.0
A12,17_nonanal,-7.39,1,17,Medium-chain,nonanal,6.0
A12,18_decanal,-7.56,1,18,Medium-chain,decanal,6.0
A12,19_dodecanal,-8.08,1,19,Medium-chain,dodecanal,7.0
A12,20_Citral,-7.57,1,20,"α,β-Unsaturated",Citral,7.0
A12,21_cis-2-Octenal,-7.27,1,21,"α,β-Unsaturated",cis-2-Octenal,6.0
A12,22_trans-2-Octenal,-7.29,1,22,"α,β-Unsaturated",trans-2-Octenal,5.0
A12,23_4-Hydroxynonenal,-7.31,1,23,"α,β-Unsaturated",4-HNE,7.0
A12,24_Tetradecanal,-8.58,1,24,Medium-chain,Tetradecanal,7.0
A12,25_hexadecanal,-9.0,1,25,Medium-chain,hexadecanal,7.0
A12,26_trans-2-hexadecenal,-8.95,1,26,"α,β-Unsaturated",t-2-hexadecenal,7.0
A12,27_Benzaldehyde,-6.97,0,27,Aromatic,benzald.,0.0
A12,28_Phenylacetaldehyde,-7.15,1,28,Aromatic,phenylacetald.,5.0
A12,29_Salicylaldehyde,-6.98,0,29,Aromatic,salicylald.,2.0
A12,2_acetaldehyde,-5.68,0,2,Short-chain,acetaldehyde,0.0
A12,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",-7.39,1,30,Aromatic,"3,4-(OH)₂-cinnamald.",7.0
A12,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",-10.45,1,31,Retinoid,β-carotene ald.,7.0
A12,32_9-cis-Retinal,-9.81,1,32,Retinoid,9-cis-retinal,7.0
A12,34_4-hydroxy-2-nonenal,-7.5,1,34,"α,β-Unsaturated",4-OH-2-nonenal,7.0
A12,35_Cinnamaldehyde,-7.54,1,35,Aromatic,cinnamald.,5.0
A12,36_3-(4-Isopropylphenyl)-2-methylpropanal,-8.45,1,36,Aromatic,iPr-Ph methylpropanal,7.0
A12,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",-6.61,0,38,Aromatic,DHF-OH-acetald.,0.0
A12,39_4-nitrobenzaldehyde,-6.68,0,39,Aromatic,4-NO₂-benzald.,0.0
A12,3_propylaldehyde,-5.92,0,3,Short-chain,propylaldehyde,0.0
A12,40_Furan-2-carbaldehyde,-7.91,1,40,Aromatic,furan-2-carbald.,7.0
A12,41_Indole-3-acetaldehyde,-7.62,1,41,Aromatic,indole-3-acetald.,7.0
A12,42_Glutamate-5-semialdehyde,-6.19,0,42,Semialdehyde,Glu-5-semiald.,0.0
A12,43_Glutamate-1-semialdehyde,-6.26,0,43,Semialdehyde,Glu-1-semiald.,0.0
A12,44_glutarate semialdehyde,-6.4,0,44,Semialdehyde,glutarate-semiald.,0.0
A12,45_adipate semialdehyde,-6.61,0,45,Semialdehyde,adipate-semiald.,0.0
A12,46_Succinic semialdehyde,-6.19,0,46,Semialdehyde,succinic-semiald.,0.0
A12,47_methylmalonate semialdehyde,-6.17,0,47,Semialdehyde,MeMal-semiald.,0.0
A12,48_alpha-aminoadipate semialdehyde,-6.43,0,48,Semialdehyde,α-AASA,0.0
A12,49_2-Aminomuconic semialdehyde,-6.47,0,49,Semialdehyde,2-AM-semiald.,0.0
A12,4_malonaldehyde,-5.95,0,4,Short-chain,malonaldehyde,0.0
A12,50_10-formyltetrahydrofolate,-7.99,1,50,Other,10-formyl-THF,7.0
A12,52_Triose phosphate,-6.05,0,52,Other,Triose phosphate,0.0
A12,53_Pyridoxal phosphate,-7.06,1,53,Other,Pyridoxal phosphate,1.0
A12,57_S-3-oxopropylglutathione,-8.23,1,57,Other,S-3-oxopropyl-GSH,7.0
A12,58_S-(4-oxobutan-2-yl)glutathione,-8.36,1,58,Other,S-4-oxobutyl-GSH,7.0
A12,5_butyraldehyde,-6.2,0,5,Short-chain,butyraldehyde,0.0
A12,60_S-Formylglutathione,-7.52,1,60,Other,S-formyl-GSH,7.0
A12,6_amylaldehyde,-6.46,0,6,Short-chain,amylaldehyde,0.0
A12,7_glutaraldehyde,-6.39,0,7,Medium-chain,glutaraldehyde,0.0
A12,8_hexanal,-6.69,0,8,Medium-chain,hexanal,0.0
A12,9_2-hydroxypropionaldehyde,-5.94,0,9,Short-chain,2-hydroxypropionaldeh…,0.0
A13,10_4-guanidinobutyraldehyde,-5.56,0,10,Semialdehyde,γ-guanidinobutyr-ald.,0.0
A13,11_prop-2-enal,-5.99,0,11,"α,β-Unsaturated",prop-2-enal,0.0
A13,12_prop-2-ynal,-5.96,0,12,"α,β-Unsaturated",prop-2-ynal,0.0
A13,13_(2E)-but-2-enal,-6.23,0,13,"α,β-Unsaturated",(2E)-but-2-enal,0.0
A13,14_trans-2-Hexenal,-6.76,0,14,"α,β-Unsaturated",trans-2-Hexenal,0.0
A13,15_heptanal,-6.98,0,15,Medium-chain,heptanal,1.0
A13,16_octanaldehyde,-7.15,1,16,Medium-chain,octanaldehyde,6.0
A13,17_nonanal,-7.42,1,17,Medium-chain,nonanal,6.0
A13,18_decanal,-7.38,1,18,Medium-chain,decanal,6.0
A13,19_dodecanal,-8.24,1,19,Medium-chain,dodecanal,7.0
A13,20_Citral,-7.82,1,20,"α,β-Unsaturated",Citral,7.0
A13,21_cis-2-Octenal,-7.16,1,21,"α,β-Unsaturated",cis-2-Octenal,6.0
A13,22_trans-2-Octenal,-6.95,0,22,"α,β-Unsaturated",trans-2-Octenal,5.0
A13,23_4-Hydroxynonenal,-7.38,1,23,"α,β-Unsaturated",4-HNE,7.0
A13,24_Tetradecanal,-8.43,1,24,Medium-chain,Tetradecanal,7.0
A13,25_hexadecanal,-9.06,1,25,Medium-chain,hexadecanal,7.0
A13,26_trans-2-hexadecenal,-8.8,1,26,"α,β-Unsaturated",t-2-hexadecenal,7.0
A13,27_Benzaldehyde,-6.9,0,27,Aromatic,benzald.,0.0
A13,28_Phenylacetaldehyde,-7.29,1,28,Aromatic,phenylacetald.,5.0
A13,29_Salicylaldehyde,-6.96,0,29,Aromatic,salicylald.,2.0
A13,2_acetaldehyde,-5.73,0,2,Short-chain,acetaldehyde,0.0
A13,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",-7.46,1,30,Aromatic,"3,4-(OH)₂-cinnamald.",7.0
A13,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",-9.67,1,31,Retinoid,β-carotene ald.,7.0
A13,32_9-cis-Retinal,-9.66,1,32,Retinoid,9-cis-retinal,7.0
A13,34_4-hydroxy-2-nonenal,-7.4,1,34,"α,β-Unsaturated",4-OH-2-nonenal,7.0
A13,35_Cinnamaldehyde,-7.38,1,35,Aromatic,cinnamald.,5.0
A13,36_3-(4-Isopropylphenyl)-2-methylpropanal,-8.26,1,36,Aromatic,iPr-Ph methylpropanal,7.0
A13,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",-6.59,0,38,Aromatic,DHF-OH-acetald.,0.0
A13,39_4-nitrobenzaldehyde,-6.72,0,39,Aromatic,4-NO₂-benzald.,0.0
A13,3_propylaldehyde,-5.96,0,3,Short-chain,propylaldehyde,0.0
A13,40_Furan-2-carbaldehyde,-7.88,1,40,Aromatic,furan-2-carbald.,7.0
A13,41_Indole-3-acetaldehyde,-7.49,1,41,Aromatic,indole-3-acetald.,7.0
A13,42_Glutamate-5-semialdehyde,-6.24,0,42,Semialdehyde,Glu-5-semiald.,0.0
A13,43_Glutamate-1-semialdehyde,-6.21,0,43,Semialdehyde,Glu-1-semiald.,0.0
A13,44_glutarate semialdehyde,-6.46,0,44,Semialdehyde,glutarate-semiald.,0.0
A13,45_adipate semialdehyde,-6.64,0,45,Semialdehyde,adipate-semiald.,0.0
A13,46_Succinic semialdehyde,-6.2,0,46,Semialdehyde,succinic-semiald.,0.0
A13,47_methylmalonate semialdehyde,-6.25,0,47,Semialdehyde,MeMal-semiald.,0.0
A13,48_alpha-aminoadipate semialdehyde,-6.54,0,48,Semialdehyde,α-AASA,0.0
A13,49_2-Aminomuconic semialdehyde,-6.31,0,49,Semialdehyde,2-AM-semiald.,0.0
A13,4_malonaldehyde,-5.96,0,4,Short-chain,malonaldehyde,0.0
