protein,ligand,category,DG_prediction_kcalmol,CYS_SG_to_aldC_distance_A,LE,N_total,N_CC,N_CA,N_CP,N_PA
A12,13_(2E)-but-2-enal,"α,β-Unsat",-6.21,5.528,1.242,38.006208141344395,3.4983447720502805,5.2475171580754205,11.70413848448748,17.556207726731216
A12,14_trans-2-Hexenal,"α,β-Unsat",-6.7,5.344,0.9571428571428572,50.47779309663326,5.959071734367878,8.938607601551817,14.23204550428543,21.348068256428142
A12,15_heptanal,Medium-chain,-6.97,5.407,0.87125,56.08149432529292,7.768595532253994,11.65289329838099,14.664002197863173,21.996003296794758
A12,16_octanaldehyde,Medium-chain,-7.14,5.564,0.7933333333333333,59.3651458019077,8.995402659543736,13.493103989315603,14.750655661219344,22.125983491829015
A12,17_nonanal,Medium-chain,-7.39,5.572,0.739,64.6492424244883,10.636739856101066,15.955109784151595,15.222957113694259,22.834435670541385
A12,18_decanal,Medium-chain,-7.56,5.686,0.6872727272727273,67.56514229852388,11.995064929397946,17.99259739409692,15.030991990011609,22.54648798501741
A12,19_dodecanal,Medium-chain,-8.08,5.389,0.6215384615384616,77.5220489822563,15.778837849848456,23.668256774772683,15.229981743054063,22.844972614581092
A12,20_Citral,"α,β-Unsat",-7.57,5.838,0.6881818181818182,69.7761299389011,11.34559872806532,17.01839809209798,16.56485324749512,24.847279871242673
A12,21_cis-2-Octenal,"α,β-Unsat",-7.27,5.613,0.8077777777777777,63.90865083263679,9.206680238949657,13.810020358424483,16.35678009410506,24.53517014115759
A12,22_trans-2-Octenal,"α,β-Unsat",-7.29,5.444,0.81,64.47172264614021,9.28779636440296,13.931694546604438,16.500892694053128,24.75133904107969
A12,23_4-Hydroxynonenal,"α,β-Unsat",-7.31,5.506,0.6645454545454546,67.91885913252267,8.337492750911373,12.50623912636706,18.830050902097696,28.245076353146544
A12,24_Tetradecanal,Medium-chain,-8.58,5.57,0.572,86.11585363037494,19.767607148007148,29.65141072201072,14.67873430414283,22.018101456214243
A12,25_hexadecanal,Medium-chain,-9.0,5.502,0.5294117647058824,92.13792605268038,23.546154129182668,35.319231193773994,13.30901629188949,19.963524437834234
A12,26_trans-2-hexadecenal,"α,β-Unsat",-8.95,5.742,0.526470588235294,92.10779382106405,22.850715543088395,34.27607331463259,13.992401985337228,20.98860297800584
A12,27_Benzaldehyde,Aromatic,-6.97,5.01,0.87125,58.66958350790264,6.843024655083404,10.264536982625106,16.62480874807765,24.93721312211647
A12,28_Phenylacetaldehyde,Aromatic,-7.15,4.951,0.7944444444444445,64.35183633202914,7.353269831539864,11.029904747309795,18.387464701271792,27.581197051907683
A12,29_Salicylaldehyde,Aromatic,-6.98,4.824,0.7755555555555556,60.2133157064427,6.432187094814565,9.648280642221847,17.653139187762516,26.47970878164377
A12,2_acetaldehyde,Short-chain,-5.68,5.165,1.8933333333333333,22.27735357619666,1.6375340035409627,2.4563010053114436,7.273407426937702,10.910111140406553
A12,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",Aromatic,-7.39,5.817,0.6158333333333333,72.13708436513508,7.958884518005353,11.938326777008028,20.89594922804868,31.343923842073018
A12,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",Retinoid,-10.45,5.763,0.49761904761904757,125.19559226979463,32.204062199559296,48.30609329933895,17.874174708358556,26.811262062537832
A12,32_9-cis-Retinal,Retinoid,-9.81,5.564,0.4671428571428572,110.49372455370869,28.42230076695051,42.63345115042576,15.775189054532968,23.66278358179945
A12,34_4-hydroxy-2-nonenal,"α,β-Unsat",-7.5,6.785,0.6818181818181818,73.50525880143147,9.023260552934387,13.534890829401581,20.378842967638203,30.5682644514573
A12,35_Cinnamaldehyde,Aromatic,-7.54,5.472,0.754,73.57854648883755,9.562022639867697,14.343033959801547,19.869395955667326,29.804093933500983
A12,36_3-(4-Isopropylphenyl)-2-methylpropanal,Aromatic,-8.45,5.098,0.6035714285714285,91.84692179700495,15.881863560732112,23.822795341098168,20.856905158069875,31.285357737104807
A12,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",Aromatic,-6.61,5.455,0.5508333333333334,63.58609794628752,0.0,0.0,25.43443917851501,38.15165876777251
A12,39_4-nitrobenzaldehyde,Aromatic,-6.68,5.767,0.6072727272727273,50.35785852966802,5.719477712271263,8.579216568406894,14.423665699595947,21.63549854939392
