protein,ligand,catalytic_CYS_resseq,is_aldehyde,aldehyde_C_idx_in_sdf,CYS_SG_to_aldC_distance_A
A13,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",340,True,11,3.078
A13,39_4-nitrobenzaldehyde,340,True,10,3.057
A13,3_propylaldehyde,340,True,3,4.039
A13,40_Furan-2-carbaldehyde,340,True,16,13.516
A13,41_Indole-3-acetaldehyde,340,True,11,3.56
A13,42_Glutamate-5-semialdehyde,340,True,8,2.854
A13,43_Glutamate-1-semialdehyde,340,True,7,7.377
A13,44_glutarate semialdehyde,340,True,7,2.972
A13,45_adipate semialdehyde,340,True,8,4.305
A13,46_Succinic semialdehyde,340,True,6,3.118
A13,47_methylmalonate semialdehyde,340,True,6,5.025
A13,48_alpha-aminoadipate semialdehyde,340,True,9,2.762
A13,49_2-Aminomuconic semialdehyde,340,True,9,2.951
A13,4_malonaldehyde,340,True,3,3.428
A13,50_10-formyltetrahydrofolate,340,True,21,6.739
A13,51_6R-Tetrahydrofolic acid,340,False,,
A13,52_Triose phosphate,340,True,9,4.428
A13,53_Pyridoxal phosphate,340,True,15,14.125
A13,55_Ethanol,340,False,,
A13,56_S-hydroxy-methylglutathione,340,False,,
A13,57_S-3-oxopropylglutathione,340,True,23,2.628
A13,58_S-(4-oxobutan-2-yl)glutathione,340,True,23,11.799
A13,59_4-Hydroxynonenal_glutathione,340,False,,
A13,5_butyraldehyde,340,True,4,3.647
A13,60_S-Formylglutathione,340,True,21,2.979
A13,6_amylaldehyde,340,True,5,6.314
A13,7_glutaraldehyde,340,True,5,7.758
A13,8_hexanal,340,True,6,6.478
A13,9_2-hydroxypropionaldehyde,340,True,4,3.096
A14,10_4-guanidinobutyraldehyde,317,True,7,2.998
A14,11_prop-2-enal,317,True,2,1.267
A14,12_prop-2-ynal,317,True,1,2.223
A14,13_(2E)-but-2-enal,317,True,4,1.931
A14,14_trans-2-Hexenal,317,True,6,4.354
A14,15_heptanal,317,True,7,1.85
A14,16_octanaldehyde,317,True,8,3.046
A14,17_nonanal,317,True,9,9.877
A14,18_decanal,317,True,10,2.565
A14,19_dodecanal,317,True,12,4.425
A14,1_formaldehyde,317,False,,
A14,20_Citral,317,True,10,3.88
A14,21_cis-2-Octenal,317,True,1,5.449
A14,22_trans-2-Octenal,317,True,8,2.298
A14,23_4-Hydroxynonenal,317,True,10,10.293
A14,24_Tetradecanal,317,True,14,10.1
A14,25_hexadecanal,317,True,16,6.389
A14,26_trans-2-hexadecenal,317,True,16,4.645
A14,27_Benzaldehyde,317,True,7,34.477
A14,28_Phenylacetaldehyde,317,True,8,2.581
A14,29_Salicylaldehyde,317,True,8,4.199
A14,2_acetaldehyde,317,True,2,9.882
A14,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",317,True,11,7.302
A14,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",317,True,20,5.69
A14,32_9-cis-Retinal,317,True,20,8.761
A14,33_11-cis-Retinol,317,False,,
A14,34_4-hydroxy-2-nonenal,317,True,10,2.277
A14,35_Cinnamaldehyde,317,True,9,11.804
A14,36_3-(4-Isopropylphenyl)-2-methylpropanal,317,True,13,11.392
A14,37_thiobenzaldehyde,317,False,,
A14,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",317,True,11,3.645
A14,39_4-nitrobenzaldehyde,317,True,10,2.895
A14,3_propylaldehyde,317,True,3,1.109
A14,40_Furan-2-carbaldehyde,317,True,16,10.24
A14,41_Indole-3-acetaldehyde,317,True,11,11.081
A14,42_Glutamate-5-semialdehyde,317,True,8,8.23
A14,43_Glutamate-1-semialdehyde,317,True,7,4.089
A14,44_glutarate semialdehyde,317,True,7,6.654
A14,45_adipate semialdehyde,317,True,8,5.663
A14,46_Succinic semialdehyde,317,True,6,4.247
A14,47_methylmalonate semialdehyde,317,True,6,2.904
A14,48_alpha-aminoadipate semialdehyde,317,True,9,9.599
A14,49_2-Aminomuconic semialdehyde,317,True,9,3.458
A14,4_malonaldehyde,317,True,3,2.983
A14,50_10-formyltetrahydrofolate,317,True,21,14.252
A14,51_6R-Tetrahydrofolic acid,317,False,,
A14,52_Triose phosphate,317,True,9,8.896
A14,53_Pyridoxal phosphate,317,True,15,12.748
A14,55_Ethanol,317,False,,
A14,56_S-hydroxy-methylglutathione,317,False,,
A14,57_S-3-oxopropylglutathione,317,True,23,2.991
A14,58_S-(4-oxobutan-2-yl)glutathione,317,True,23,15.727
A14,59_4-Hydroxynonenal_glutathione,317,False,,
A14,5_butyraldehyde,317,True,4,0.95
A14,60_S-Formylglutathione,317,True,21,4.527
A14,6_amylaldehyde,317,True,5,1.828
A14,7_glutaraldehyde,317,True,5,7.531
A14,8_hexanal,317,True,6,3.84
A14,9_2-hydroxypropionaldehyde,317,True,4,1.904
A8,10_4-guanidinobutyraldehyde,244,True,7,2.365
A8,11_prop-2-enal,244,True,2,2.256
A8,12_prop-2-ynal,244,True,1,2.056
A8,13_(2E)-but-2-enal,244,True,4,1.94
A8,14_trans-2-Hexenal,244,True,6,1.88
A8,15_heptanal,244,True,7,1.96
