protein,ligand,rank1_confidence,DG_prediction_kcalmol,prodigy_rc
A11,25_hexadecanal,-1.63,-7.42,0
A11,26_trans-2-hexadecenal,-1.07,-7.38,0
A11,27_Benzaldehyde,-0.09,-6.58,0
A11,28_Phenylacetaldehyde,-0.44,-6.78,0
A11,29_Salicylaldehyde,-0.63,-6.69,0
A11,2_acetaldehyde,0.14,-5.65,0
A11,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",-0.35,-7.02,0
A11,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",-1.23,-8.72,0
A11,32_9-cis-Retinal,-1.13,-8.24,0
A11,33_11-cis-Retinol,-1.12,-8.06,0
A11,34_4-hydroxy-2-nonenal,-0.52,-7.06,0
A11,35_Cinnamaldehyde,-0.24,-6.99,0
A11,36_3-(4-Isopropylphenyl)-2-methylpropanal,-0.94,-7.51,0
A11,37_thiobenzaldehyde,-0.3,-6.69,0
A11,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",-0.89,-6.66,0
A11,39_4-nitrobenzaldehyde,-0.34,-6.48,0
A11,3_propylaldehyde,-0.03,-5.84,0
A11,40_Furan-2-carbaldehyde,-0.12,-7.67,0
A11,41_Indole-3-acetaldehyde,-0.38,-7.21,0
A11,42_Glutamate-5-semialdehyde,-0.33,-6.12,0
A11,43_Glutamate-1-semialdehyde,-0.35,-5.99,0
A11,44_glutarate semialdehyde,-0.18,-6.4,0
A11,45_adipate semialdehyde,-0.28,-6.66,0
A11,46_Succinic semialdehyde,-0.32,-6.13,0
A11,47_methylmalonate semialdehyde,-0.37,-6.12,0
A11,48_alpha-aminoadipate semialdehyde,-0.38,-6.42,0
A11,49_2-Aminomuconic semialdehyde,-0.52,-6.21,0
A11,4_malonaldehyde,-0.26,-5.89,0
A11,50_10-formyltetrahydrofolate,-0.57,-8.19,0
A11,51_6R-Tetrahydrofolic acid,-0.49,-7.59,0
A11,52_Triose phosphate,-0.57,-6.1,0
A11,53_Pyridoxal phosphate,-0.81,-6.91,0
A11,55_Ethanol,-0.2,-5.65,0
A11,56_S-hydroxy-methylglutathione,-1.3,-7.44,0
A11,57_S-3-oxopropylglutathione,-1.82,-7.82,0
A11,58_S-(4-oxobutan-2-yl)glutathione,-1.43,-8.21,0
A11,59_4-Hydroxynonenal_glutathione,-0.77,-8.9,0
A11,5_butyraldehyde,-0.15,-6.06,0
A11,60_S-Formylglutathione,-1.63,-7.39,0
A11,6_amylaldehyde,-0.37,-6.22,0
A11,7_glutaraldehyde,-0.54,-6.39,0
A11,8_hexanal,-0.43,-6.48,0
A11,9_2-hydroxypropionaldehyde,-0.14,-5.86,0
A12,10_4-guanidinobutyraldehyde,-0.32,-5.94,0
A12,11_prop-2-enal,-0.14,-5.92,0
A12,12_prop-2-ynal,-0.22,-5.96,0
